dsc_cycle,axi_cycle,phase,slice_buffer_valid,slice_buffer_last,flatness_valid,flatness_last,predict_valid,predict_last
2746,915,pixel_transfer,2,0,3,0,3,0
2750,916,pixel_transfer,2,0,3,0,3,0
2754,917,pixel_transfer,2,0,3,0,3,0
2758,919,pixel_transfer,2,0,3,0,3,0
2761,920,pixel_transfer,1,0,0,0,0,0
2762,920,pixel_transfer,2,0,3,0,3,0
2765,921,pixel_transfer,1,0,0,0,0,0
2766,921,pixel_transfer,2,0,3,1,3,0
2769,922,pixel_transfer,1,0,0,0,0,0
2770,923,pixel_transfer,2,0,2,0,3,1
2773,924,pixel_transfer,1,0,0,0,0,0
2774,924,pixel_transfer,2,0,2,0,2,0
2777,925,pixel_transfer,1,0,0,0,0,0
2778,925,pixel_transfer,2,0,2,0,2,0
2781,926,pixel_transfer,1,0,0,0,0,0
2782,927,pixel_transfer,2,0,2,0,2,0
2785,928,pixel_transfer,1,0,0,0,0,0
2786,928,pixel_transfer,2,0,2,0,2,0
2789,929,pixel_transfer,1,0,1,0,0,0
2790,929,pixel_transfer,2,0,2,0,2,0
2793,930,pixel_transfer,1,0,1,0,1,0
2794,931,pixel_transfer,2,0,2,0,2,0
2797,932,pixel_transfer,1,0,1,0,1,0
2798,932,pixel_transfer,2,0,2,0,2,0
2801,933,pixel_transfer,1,0,1,0,1,0
2802,933,pixel_transfer,2,0,2,0,2,0
2805,934,pixel_transfer,1,0,1,0,1,0
2806,935,pixel_transfer,2,0,2,0,2,0
2809,936,pixel_transfer,1,0,1,0,1,0
2810,936,pixel_transfer,2,2,2,0,2,0
2813,937,pixel_transfer,1,0,1,0,1,0
2814,937,pixel_transfer,0,0,2,0,2,0
2817,938,pixel_transfer,1,0,1,0,1,0
2818,939,pixel_transfer,0,0,2,0,2,0
2821,940,pixel_transfer,1,0,1,0,1,0
2822,940,pixel_transfer,0,0,2,0,2,0
2825,941,pixel_transfer,1,0,1,0,1,0
2826,941,pixel_transfer,0,0,2,0,2,0
2829,942,pixel_transfer,1,0,1,0,1,0
2830,943,pixel_transfer,0,0,2,0,2,0
2833,944,pixel_transfer,3,0,1,0,1,0
2834,944,pixel_transfer,0,0,2,0,2,0
2837,945,pixel_transfer,3,0,1,0,1,0
2838,945,pixel_transfer,0,0,2,2,2,0
2841,946,pixel_transfer,3,0,1,0,1,0
2842,947,pixel_transfer,0,0,0,0,2,2
2845,948,line_marker,3,0,1,0,1,0
2849,949,pixel_transfer,3,0,1,0,1,0
2853,950,pixel_transfer,3,0,1,0,1,0
2857,952,pixel_transfer,3,0,1,0,1,0
2861,953,pixel_transfer,3,0,3,0,1,0
2865,954,pixel_transfer,3,0,3,0,3,0
2869,956,pixel_transfer,3,0,3,0,3,0
2873,957,pixel_transfer,3,0,3,0,3,0
2877,958,pixel_transfer,3,0,3,0,3,0
2881,960,pixel_transfer,3,0,3,0,3,0
2885,961,pixel_transfer,3,1,3,0,3,0
2889,962,pixel_transfer,2,0,3,0,3,0
2893,964,pixel_transfer,2,0,3,0,3,0
2897,965,pixel_transfer,2,0,3,0,3,0
2901,966,pixel_transfer,2,0,3,0,3,0
